InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
560398,22892,SET OF SALT AND PEPPER TOADSTOOLS,24.0,7/18/2011 14:10,1.25,12731.0,France
541631,22244,3 HOOK HANGER MAGIC GARDEN,12.0,1/20/2011 10:47,1.95,12637.0,France
569870,23505,PLAYING CARDS I LOVE LONDON ,2.0,10/6/2011 14:59,1.25,12757.0,Portugal
574740,22903,CALENDAR FAMILY FAVOURITES,12.0,11/6/2011 16:07,2.95,12357.0,Switzerland
581001,23515,EMBROIDERED RIBBON REEL DAISY ,6.0,12/7/2011 8:07,2.08,12583.0,France
573401,21988,PACK OF 6 SKULL PAPER PLATES,12.0,10/30/2011 15:43,0.85,12364.0,Belgium
540835,20723,STRAWBERRY CHARLOTTE BAG,10.0,1/11/2011 15:00,0.85,12724.0,France
573656,23254,CHILDRENS CUTLERY DOLLY GIRL ,4.0,10/31/2011 16:02,4.15,12417.0,Belgium
567293,22193,RED DINER WALL CLOCK,2.0,9/19/2011 12:01,8.5,12640.0,France
571665,21914,BLUE HARMONICA IN BOX ,12.0,10/18/2011 12:59,1.25,12540.0,Spain
580557,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12.0,12/5/2011 10:19,1.25,14911.0,EIRE
573362,23486,ANTIQUE HEART SHELF UNIT,1.0,10/30/2011 13:06,16.65,12597.0,Spain
570672,23077,DOUGHNUT LIP GLOSS ,20.0,10/11/2011 14:52,1.25,12536.0,France
547327,22035,VINTAGE CARAVAN GREETING CARD ,12.0,3/22/2011 11:28,0.42,12681.0,France
558684,23124,18PC WOODEN CUTLERY SET DISPOSABLE,16.0,7/1/2011 11:29,1.25,14016.0,EIRE
548011,22776,SWEETHEART CAKESTAND 3 TIER,12.0,3/29/2011 11:14,8.5,14646.0,Netherlands
541120,22356,CHARLOTTE BAG PINK POLKADOT,10.0,1/14/2011 9:13,0.85,12490.0,France
C539644,22472,TV DINNER TRAY DOLLY GIRL,-1.0,12/20/2010 15:52,4.95,12471.0,Germany
555589,22939,APRON APPLE DELIGHT,4.0,6/6/2011 9:36,4.95,12802.0,Netherlands
563558,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10.0,8/17/2011 13:40,2.08,14156.0,EIRE
541405,21843,RED RETROSPOT CAKE STAND,8.0,1/17/2011 15:17,10.95,12683.0,France
571425,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12.0,10/17/2011 12:41,0.85,14911.0,EIRE
539636,POST,POSTAGE,6.0,12/20/2010 15:15,18.0,12481.0,Germany
576880,22274,FELTCRAFT DOLL EMILY,6.0,11/16/2011 17:03,2.95,14911.0,EIRE
543121,90098,NECKLACE+BRACELET PINK BUTTERFLY,6.0,2/3/2011 13:58,2.55,12662.0,Germany
550188,22555,PLASTERS IN TIN STRONGMAN,12.0,4/14/2011 18:57,1.65,12457.0,Switzerland
573362,21993,FLORAL FOLK STATIONERY SET,12.0,10/30/2011 13:06,1.25,12597.0,Spain
575886,22029,SPACEBOY BIRTHDAY CARD,12.0,11/11/2011 13:57,0.42,12517.0,Germany
566984,23433,HANGING QUILTED PATCHWORK APPLES,12.0,9/16/2011 10:39,0.83,12471.0,Germany
540642,22988,SOLDIERS EGG CUP ,24.0,1/10/2011 13:22,1.25,12681.0,France
557328,21987,PACK OF 6 SKULL PAPER CUPS,1.0,6/20/2011 9:53,0.65,14646.0,Netherlands
541434,85180A,RED HEARTS LIGHT CHAIN ,24.0,1/18/2011 10:22,1.25,14911.0,EIRE
541220,22838,3 TIER CAKE TIN RED AND CREAM,96.0,1/14/2011 14:11,12.75,14156.0,EIRE
574097,23368,SET 12 COLOUR PENCILS DOLLY GIRL ,16.0,11/3/2011 9:56,0.65,12471.0,Germany
541981,21094,SET/6 RED SPOTTY PAPER PLATES,12.0,1/24/2011 15:32,0.85,12691.0,France
571824,22466,FAIRY TALE COTTAGE NIGHT LIGHT,12.0,10/19/2011 11:49,1.95,12472.0,Germany
575787,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24.0,11/11/2011 11:18,1.25,12518.0,Germany
574255,POST,POSTAGE,1.0,11/3/2011 13:44,18.0,12569.0,Germany
568095,90170,DAISY HAIR BAND,12.0,9/23/2011 14:49,1.65,14911.0,EIRE
574862,23381,PACK OF 12 VINTAGE LEAF TISSUES ,24.0,11/7/2011 12:27,0.39,12408.0,Belgium
553206,23094,LE GRAND TRAY CHIC SET,4.0,5/16/2011 8:16,12.5,14156.0,EIRE
554137,47559B,TEA TIME OVEN GLOVE,10.0,5/23/2011 10:13,1.25,12708.0,Germany
564734,22384,LUNCH BAG PINK POLKADOT,4.0,8/28/2011 13:32,1.65,12484.0,Spain
550137,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12.0,4/14/2011 13:59,1.25,12477.0,Germany
564856,21155,RED RETROSPOT PEG BAG,12.0,8/31/2011 9:11,2.55,12477.0,Germany
C567521,22486,PLASMATRONIC LAMP,-1.0,9/20/2011 16:33,12.75,12540.0,Spain
547444,POST,POSTAGE,1.0,3/23/2011 10:55,1.0,12811.0,Portugal
564367,16016,LARGE CHINESE STYLE SCISSOR,20.0,8/25/2011 9:18,0.85,12712.0,Germany
565416,23292,SPACEBOY CHILDRENS CUP,8.0,9/4/2011 12:00,1.25,12710.0,Germany
576603,23201,JUMBO BAG ALPHABET,10.0,11/15/2011 15:22,2.08,14911.0,EIRE
547517,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6.0,3/23/2011 14:33,2.95,12395.0,Belgium
538095,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1.0,12/9/2010 14:55,2.95,17097.0,Spain
562560,20726,LUNCH BAG WOODLAND,2.0,8/5/2011 17:12,1.65,14156.0,EIRE
571824,22303,COFFEE MUG APPLES DESIGN,6.0,10/19/2011 11:49,2.55,12472.0,Germany
549953,20977,36 PENCILS TUBE WOODLAND,16.0,4/13/2011 13:15,1.25,12766.0,Portugal
542922,22915,ASSORTED BOTTLE TOP  MAGNETS ,12.0,2/2/2011 9:06,0.42,12682.0,France
548718,22604,SET OF 4 NAPKIN CHARMS CUTLERY,64.0,4/4/2011 8:50,2.1,14156.0,EIRE
539446,22113,GREY HEART HOT WATER BOTTLE,12.0,12/17/2010 15:58,3.75,12705.0,Germany
558684,22740,POLKADOT PEN,96.0,7/1/2011 11:29,0.85,14016.0,EIRE
563848,23285,PINK VINTAGE SPOT BEAKER,8.0,8/19/2011 14:57,0.85,14911.0,EIRE
541206,22367,CHILDRENS APRON SPACEBOY DESIGN,100.0,1/14/2011 12:24,1.65,14646.0,Netherlands
575352,POST,POSTAGE,3.0,11/9/2011 14:56,18.0,12504.0,Germany
565416,21989,PACK OF 20 SKULL PAPER NAPKINS,24.0,9/4/2011 12:00,0.85,12710.0,Germany
567293,22192,BLUE DINER WALL CLOCK,2.0,9/19/2011 12:01,8.5,12640.0,France
547897,22296,HEART IVORY TRELLIS LARGE,12.0,3/28/2011 11:36,1.65,12792.0,Portugal
540469,47590B,PINK HAPPY BIRTHDAY BUNTING,5.0,1/7/2011 14:04,5.45,12484.0,Spain
539446,21424,WOODLAND STORAGE BOX LARGE ,6.0,12/17/2010 15:58,2.95,12705.0,Germany
544573,22303,COFFEE MUG APPLES DESIGN,36.0,2/21/2011 13:40,2.1,12621.0,Germany
556507,23112,PARISIENNE CURIO CABINET,2.0,6/13/2011 9:55,7.5,12567.0,France
543828,22927,GREEN GIANT GARDEN THERMOMETER,4.0,2/14/2011 9:45,5.95,14156.0,EIRE
539395,21578,WOODLAND DESIGN  COTTON TOTE BAG,12.0,12/17/2010 11:52,2.25,12471.0,Germany
577039,23174,REGENCY SUGAR BOWL GREEN,8.0,11/17/2011 13:30,4.15,12539.0,Spain
580511,22726,ALARM CLOCK BAKELIKE GREEN,8.0,12/4/2011 13:54,3.75,12560.0,Germany
543056,21232,STRAWBERRY CERAMIC TRINKET BOX,24.0,2/3/2011 10:47,1.25,12471.0,Germany
569568,21561,DINOSAUR LUNCH BOX WITH CUTLERY,6.0,10/5/2011 9:57,2.55,12700.0,France
563950,22419,LIPSTICK PEN RED,48.0,8/22/2011 10:39,0.42,12471.0,Germany
567293,22348,TEA BAG PLATE RED RETROSPOT,12.0,9/19/2011 12:01,0.85,12640.0,France
570881,22576,SWALLOW WOODEN CHRISTMAS DECORATION,12.0,10/13/2011 9:30,0.85,12498.0,Germany
560534,21912,VINTAGE SNAKES & LADDERS,4.0,7/19/2011 12:10,3.75,14911.0,EIRE
550911,20749,ASSORTED COLOUR MINI CASES,2.0,4/21/2011 13:11,7.95,12354.0,Spain
547892,22892,SET OF SALT AND PEPPER TOADSTOOLS,12.0,3/28/2011 10:15,1.25,12669.0,France
577615,22077,6 RIBBONS RUSTIC CHARM,12.0,11/21/2011 10:22,1.95,12658.0,Germany
565289,23335,EGG FRYING PAN IVORY ,6.0,9/2/2011 11:43,2.08,14911.0,EIRE
556241,22990,COTTON APRON PANTRY DESIGN,2.0,6/9/2011 16:04,4.95,12597.0,Spain
555095,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,8.0,5/31/2011 13:32,2.55,12540.0,Spain
557489,22301,COFFEE MUG CAT + BIRD DESIGN,6.0,6/20/2011 14:58,2.55,12490.0,France
542278,84692,BOX OF 24 COCKTAIL PARASOLS,25.0,1/27/2011 10:43,0.42,14911.0,EIRE
547005,22972,CHILDREN'S SPACEBOY MUG,12.0,3/18/2011 14:20,1.65,12474.0,Germany
552882,23071,MARIE ANTOINETTE TRINKET BOX GOLD,24.0,5/12/2011 10:10,11.15,14646.0,Netherlands
543114,22760,"TRAY, BREAKFAST IN BED",1.0,2/3/2011 13:26,12.75,14156.0,EIRE
553686,22976,CIRCUS PARADE CHILDRENS EGG CUP ,12.0,5/18/2011 13:58,1.25,14911.0,EIRE
543114,22055,MINI CAKE STAND  HANGING STRAWBERY,8.0,2/3/2011 13:26,1.65,14156.0,EIRE
557263,22714,CARD BIRTHDAY COWBOY,72.0,6/19/2011 11:08,0.36,14646.0,Netherlands
542586,21680,WOODLAND  STICKERS,12.0,1/28/2011 15:45,0.85,12377.0,Switzerland
548745,23183,MOTHER'S KITCHEN SPOON REST ,6.0,4/4/2011 12:10,3.75,12471.0,Germany
554106,20982,12 PENCILS TALL TUBE SKULLS,12.0,5/22/2011 14:05,0.85,12710.0,Germany
569866,23247,BISCUIT TIN 50'S CHRISTMAS,6.0,10/6/2011 14:50,2.89,12757.0,Portugal
581003,47504H,ENGLISH ROSE SPIRIT LEVEL ,12.0,12/7/2011 8:38,0.79,14911.0,EIRE
557885,20665,RED RETROSPOT PURSE ,6.0,6/23/2011 13:37,2.95,12465.0,Belgium
578698,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48.0,11/25/2011 10:20,0.29,12620.0,France
553547,23280,FOLDING BUTTERFLY MIRROR HOT PINK ,12.0,5/17/2011 15:48,0.83,12474.0,Germany
562035,21358,TOAST ITS - HAPPY BIRTHDAY,12.0,8/2/2011 9:29,1.25,12627.0,Germany
567428,21259,VICTORIAN SEWING BOX SMALL ,2.0,9/20/2011 11:35,5.95,14911.0,EIRE
571658,20973,12 PENCIL SMALL TUBE WOODLAND,48.0,10/18/2011 12:48,0.65,12621.0,Germany
567428,21668,RED STRIPE CERAMIC DRAWER KNOB,12.0,9/20/2011 11:35,1.45,14911.0,EIRE
542922,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6.0,2/2/2011 9:06,2.55,12682.0,France
549316,23050,RECYCLED ACAPULCO MAT GREEN,6.0,4/8/2011 9:54,8.25,12705.0,Germany
539840,21212,PACK OF 72 RETROSPOT CAKE CASES,24.0,12/22/2010 14:28,0.55,12383.0,Belgium
555937,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,24.0,6/8/2011 9:39,0.55,12683.0,France
564471,21156,RETROSPOT CHILDRENS APRON,8.0,8/25/2011 12:26,1.95,12583.0,France
542621,21212,PACK OF 72 RETROSPOT CAKE CASES,24.0,1/31/2011 9:05,0.55,12528.0,Germany
547383,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,24.0,3/22/2011 15:42,1.65,12613.0,Germany
575871,22195,LARGE HEART MEASURING SPOONS,12.0,11/11/2011 12:52,1.65,14911.0,EIRE
576927,23369,SET 36 COLOUR PENCILS LOVE LONDON,16.0,11/17/2011 11:02,1.25,12567.0,France
548011,22149,FELTCRAFT 6 FLOWER FRIENDS,40.0,3/29/2011 11:14,1.85,14646.0,Netherlands
551529,22631,CIRCUS PARADE LUNCH BOX ,24.0,5/1/2011 13:18,1.95,12524.0,Germany
561911,22129,PARTY CONES CANDY TREE DECORATION,12.0,8/1/2011 10:26,0.85,12534.0,Germany
571559,23199,JUMBO BAG APPLES,10.0,10/18/2011 9:32,2.08,14911.0,EIRE
563558,22090,PAPER BUNTING RETROSPOT,6.0,8/17/2011 13:40,2.95,14156.0,EIRE
564079,22553,PLASTERS IN TIN SKULLS,12.0,8/22/2011 15:55,1.65,12627.0,Germany
561645,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,192.0,7/28/2011 15:16,0.72,14911.0,EIRE
571215,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12.0,10/14/2011 12:57,1.45,13810.0,Germany
563540,21289,LARGE STRIPES CHOCOLATE GIFT BAG,16.0,8/17/2011 12:04,1.25,12473.0,Germany
561094,21915,RED  HARMONICA IN BOX ,12.0,7/25/2011 10:04,1.25,12474.0,Germany
553206,23110,PARISIENNE KEY CABINET ,8.0,5/16/2011 8:16,5.75,14156.0,EIRE
553997,22629,SPACEBOY LUNCH BOX ,64.0,5/20/2011 11:34,1.65,12656.0,France
551656,84879,ASSORTED COLOUR BIRD ORNAMENT,16.0,5/3/2011 12:10,1.69,14911.0,EIRE
567968,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,12.0,9/23/2011 9:44,0.85,12546.0,Spain
572233,POST,POSTAGE,7.0,10/21/2011 14:41,15.0,14646.0,Netherlands
572887,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6.0,10/26/2011 13:47,2.55,12362.0,Belgium
561911,21499,BLUE POLKADOT WRAP,25.0,8/1/2011 10:26,0.42,12534.0,Germany
558628,22024,RAINY LADIES BIRTHDAY CARD,12.0,6/30/2011 17:59,0.42,12626.0,Germany
574501,23280,FOLDING BUTTERFLY MIRROR HOT PINK ,2.0,11/4/2011 13:15,0.83,12577.0,France
543048,84879,ASSORTED COLOUR BIRD ORNAMENT,8.0,2/3/2011 9:58,1.69,12600.0,Germany
539840,21123,SET/10 IVORY POLKADOT PARTY CANDLES,24.0,12/22/2010 14:28,1.25,12383.0,Belgium
565612,23289,DOLLY GIRL CHILDRENS BOWL,8.0,9/5/2011 15:17,1.25,12616.0,France
572567,23296,SET OF 6 TEA TIME BAKING CASES,8.0,10/25/2011 10:27,1.25,12398.0,Switzerland
570881,22325,MOBILE VINTAGE HEARTS ,3.0,10/13/2011 9:30,4.95,12498.0,Germany
552883,22150,3 STRIPEY MICE FELTCRAFT,40.0,5/12/2011 10:13,1.65,14646.0,Netherlands
551389,POST,POSTAGE,1.0,4/28/2011 11:45,18.0,12437.0,France
544495,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3.0,2/21/2011 11:42,4.95,12766.0,Portugal
569010,21888,BINGO SET,72.0,9/30/2011 7:36,3.39,14156.0,EIRE
545634,22620,4 TRADITIONAL SPINNING TOPS,12.0,3/4/2011 12:12,1.25,14911.0,EIRE
567653,85169D,PINK LOVE BIRD CANDLE,12.0,9/21/2011 14:35,1.25,12550.0,Spain
562527,22077,6 RIBBONS RUSTIC CHARM,12.0,8/5/2011 13:49,1.65,12647.0,Germany
541518,22554,PLASTERS IN TIN WOODLAND ANIMALS,96.0,1/19/2011 9:05,1.45,12451.0,Switzerland
565443,22423,REGENCY CAKESTAND 3 TIER,4.0,9/4/2011 14:22,12.75,12567.0,France
575661,22574,HEART WOODEN CHRISTMAS DECORATION,6.0,11/10/2011 14:39,0.85,12617.0,France
555650,22794,SWEETHEART WIRE MAGAZINE RACK,2.0,6/6/2011 13:48,7.95,14156.0,EIRE
565442,21843,RED RETROSPOT CAKE STAND,2.0,9/4/2011 14:09,10.95,12627.0,Germany
546770,23233,WRAP POPPIES  DESIGN,25.0,3/16/2011 15:17,0.42,12523.0,France
549316,20719,WOODLAND CHARLOTTE BAG,20.0,4/8/2011 9:54,0.85,12705.0,Germany
560445,22711,WRAP CIRCUS PARADE,200.0,7/19/2011 9:08,0.34,14156.0,EIRE
555947,22089,PAPER BUNTING VINTAGE PAISLEY,40.0,6/8/2011 10:45,2.55,14911.0,EIRE
578541,23338,EGG FRYING PAN RED ,2.0,11/24/2011 15:01,2.08,14277.0,France
540455,22390,PAPERWEIGHT CHILDHOOD MEMORIES,60.0,1/7/2011 12:07,0.85,12583.0,France
566816,22367,CHILDRENS APRON SPACEBOY DESIGN,24.0,9/15/2011 10:53,1.95,12731.0,France
555937,POST,POSTAGE,3.0,6/8/2011 9:39,18.0,12683.0,France
542080,22386,JUMBO BAG PINK POLKADOT,10.0,1/25/2011 12:16,1.95,13815.0,Germany
547444,22492,MINI PAINT SET VINTAGE ,36.0,3/23/2011 10:55,0.65,12811.0,Portugal
562045,23245,SET OF 3 REGENCY CAKE TINS,4.0,8/2/2011 10:33,4.95,12644.0,Germany
565857,23142,IVORY WIRE KITCHEN ORGANISER,2.0,9/7/2011 14:13,10.4,14911.0,EIRE
566268,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6.0,9/11/2011 13:38,2.55,13813.0,Germany
562045,21880,RED RETROSPOT TAPE,12.0,8/2/2011 10:33,0.65,12644.0,Germany
575886,22059,CERAMIC STRAWBERRY DESIGN MUG,8.0,11/11/2011 13:57,1.49,12517.0,Germany
536403,POST,POSTAGE,1.0,12/1/2010 11:27,15.0,12791.0,Netherlands
561471,22384,LUNCH BAG PINK POLKADOT,20.0,7/27/2011 13:14,1.65,14911.0,EIRE
558613,84580,MOUSE TOY WITH PINK T-SHIRT,6.0,6/30/2011 15:46,3.75,14911.0,EIRE
550137,22962,JAM JAR WITH PINK LID,12.0,4/14/2011 13:59,0.85,12477.0,Germany
575709,23245,SET OF 3 REGENCY CAKE TINS,32.0,11/10/2011 17:27,4.15,14646.0,Netherlands
542777,22417,PACK OF 60 SPACEBOY CAKE CASES,24.0,2/1/2011 8:31,0.55,14911.0,EIRE
C543050,22962,JAM JAR WITH PINK LID,-2.0,2/3/2011 10:14,0.85,12625.0,Germany
580511,22727,ALARM CLOCK BAKELIKE RED ,8.0,12/4/2011 13:54,3.75,12560.0,Germany
555160,23204,CHARLOTTE BAG APPLES DESIGN,100.0,6/1/2011 9:18,0.72,14646.0,Netherlands
552188,POST,POSTAGE,2.0,5/6/2011 14:01,15.0,12394.0,Belgium
550145,22728,ALARM CLOCK BAKELIKE PINK,12.0,4/14/2011 14:15,3.75,12637.0,France
574740,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24.0,11/6/2011 16:07,3.75,12357.0,Switzerland
537250,22467,GUMBALL COAT RACK,6.0,12/6/2010 10:43,2.55,12708.0,Germany
560300,90030B,RED KUKUI COCONUT SEED NECKLACE,6.0,7/18/2011 10:29,1.0,14911.0,EIRE
562046,22075,6 RIBBONS ELEGANT CHRISTMAS ,12.0,8/2/2011 10:34,1.65,12378.0,Switzerland
559422,20725,LUNCH BAG RED RETROSPOT,10.0,7/8/2011 12:00,1.65,12553.0,France
560202,15056BL,EDWARDIAN PARASOL BLACK,24.0,7/15/2011 13:10,5.95,12712.0,Germany
550527,23053,RECYCLED ACAPULCO MAT PINK,4.0,4/19/2011 10:48,8.25,12476.0,Germany
547972,20725,LUNCH BAG RED RETROSPOT,50.0,3/28/2011 16:41,1.65,12557.0,Spain
567380,85159B,"WHITE TEA,COFFEE,SUGAR JARS",12.0,9/20/2011 10:06,1.95,12620.0,France
546569,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,12.0,3/15/2011 10:53,0.85,14016.0,EIRE
572459,23201,JUMBO BAG ALPHABET,10.0,10/24/2011 12:53,2.08,14911.0,EIRE
562894,21126,SET OF 6 GIRLS CELEBRATION CANDLES,12.0,8/10/2011 12:35,1.25,12571.0,France
579102,22550,HOLIDAY FUN LUDO,4.0,11/28/2011 11:33,3.75,14911.0,EIRE
563548,37449,CERAMIC CAKE STAND + HANGING CAKES,2.0,8/17/2011 12:30,9.95,12528.0,Germany
553195,21989,PACK OF 20 SKULL PAPER NAPKINS,12.0,5/15/2011 13:45,0.85,12599.0,France
543114,22692,DOORMAT WELCOME TO OUR HOME,2.0,2/3/2011 13:26,7.95,14156.0,EIRE
581003,21411,GINGHAM HEART  DOORSTOP RED,8.0,12/7/2011 8:38,1.95,14911.0,EIRE
554104,22779,WOODEN OWLS LIGHT GARLAND ,8.0,5/22/2011 14:03,4.25,12705.0,Germany
544200,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10.0,2/17/2011 10:08,0.85,12494.0,France
563540,22908,PACK OF 20 NAPKINS RED APPLES,12.0,8/17/2011 12:04,0.85,12473.0,Germany
561116,23292,SPACEBOY CHILDRENS CUP,8.0,7/25/2011 12:22,1.25,13520.0,Switzerland
572035,22667,RECIPE BOX RETROSPOT ,48.0,10/20/2011 12:03,2.55,14646.0,Netherlands
576927,20712,JUMBO BAG WOODLAND ANIMALS,10.0,11/17/2011 11:02,2.08,12567.0,France
577850,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12.0,11/22/2011 11:04,0.85,14911.0,EIRE
557742,23168,CLASSIC CAFE SUGAR DISPENSER,12.0,6/22/2011 11:46,1.25,14911.0,EIRE
579152,22215,CAKE STAND WHITE TWO TIER LACE,2.0,11/28/2011 13:26,8.5,12479.0,Germany
542215,22447,PIN CUSHION BABUSHKA BLUE,6.0,1/26/2011 12:27,3.35,12472.0,Germany
576051,21212,PACK OF 72 RETROSPOT CAKE CASES,24.0,11/13/2011 14:45,0.55,14911.0,EIRE
569866,22112,CHOCOLATE HOT WATER BOTTLE,2.0,10/6/2011 14:50,4.95,12757.0,Portugal
575880,21207,SKULL AND CROSSBONES  GARLAND ,12.0,11/11/2011 13:35,1.65,12726.0,France
575732,POST,POSTAGE,2.0,11/11/2011 8:19,18.0,12712.0,Germany
548011,20724,RED RETROSPOT CHARLOTTE BAG,100.0,3/29/2011 11:14,0.72,14646.0,Netherlands
550620,22615,PACK OF 12 CIRCUS PARADE TISSUES ,24.0,4/19/2011 13:39,0.29,12585.0,Germany
546365,84461,12 PINK HEN+CHICKS IN BASKET,6.0,3/11/2011 11:35,2.55,12520.0,Germany
570388,23414,ZINC BOX SIGN HOME,1.0,10/10/2011 12:37,9.95,14911.0,EIRE
567653,21084,SET/6 COLLAGE PAPER CUPS,24.0,9/21/2011 14:35,0.19,12550.0,Spain
551529,20727,LUNCH BAG  BLACK SKULL.,10.0,5/1/2011 13:18,1.65,12524.0,Germany
546851,22303,COFFEE MUG APPLES DESIGN,6.0,3/17/2011 13:23,2.55,12480.0,Germany
540351,22551,PLASTERS IN TIN SPACEBOY,12.0,1/6/2011 14:26,1.65,12735.0,France
571445,85015,SET OF 12  VINTAGE POSTCARD SET,24.0,10/17/2011 13:44,0.65,12463.0,Belgium
547387,22675,FRENCH KITCHEN SIGN BLUE METAL,12.0,3/22/2011 16:00,1.25,12539.0,Spain
537201,85049G,CHOCOLATE BOX RIBBONS ,12.0,12/5/2010 14:19,1.25,12472.0,Germany
576327,23497,CLASSIC CHROME BICYCLE BELL ,12.0,11/14/2011 15:19,1.45,12476.0,Germany
554985,21747,SMALL SKULL WINDMILL,12.0,5/29/2011 12:26,1.25,12426.0,Germany
571187,21212,PACK OF 72 RETROSPOT CAKE CASES,24.0,10/14/2011 11:39,0.55,12380.0,Belgium
C539644,22554,PLASTERS IN TIN WOODLAND ANIMALS,-2.0,12/20/2010 15:52,1.65,12471.0,Germany
569866,20669,RED HEART LUGGAGE TAG,2.0,10/6/2011 14:50,1.25,12757.0,Portugal
577061,22737,RIBBON REEL CHRISTMAS PRESENT ,10.0,11/17/2011 14:40,1.65,14911.0,EIRE
541138,22138,BAKING SET 9 PIECE RETROSPOT ,3.0,1/14/2011 10:42,4.95,12553.0,France
572035,23229,VINTAGE DONKEY TAIL GAME ,36.0,10/20/2011 12:03,3.39,14646.0,Netherlands
563345,84988,SET OF 72 PINK HEART PAPER DOILIES,12.0,8/15/2011 13:22,1.45,12619.0,Germany
566233,23354,6 GIFT TAGS 50'S CHRISTMAS ,12.0,9/11/2011 11:04,0.83,12635.0,Germany
C537893,22630,DOLLY GIRL LUNCH BOX,-2.0,12/9/2010 10:14,1.95,12721.0,France
546920,22419,LIPSTICK PEN RED,36.0,3/18/2011 9:55,0.42,12471.0,Germany
580511,23236,STORAGE TIN VINTAGE DOILY ,6.0,12/4/2011 13:54,2.89,12560.0,Germany
572887,21131,GOLD STANDING GNOME,4.0,10/26/2011 13:47,4.25,12362.0,Belgium
548737,84279B,CHERRY BLOSSOM DECORATIVE FLASK,8.0,4/4/2011 11:18,3.75,12682.0,France
C562375,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,-200.0,8/4/2011 14:46,2.55,14911.0,EIRE
565865,23201,JUMBO BAG ALPHABET,10.0,9/7/2011 15:07,2.08,12637.0,France
557466,22334,DINOSAUR PARTY BAG + STICKER SET,8.0,6/20/2011 13:08,1.65,13815.0,Germany
C581316,23174,REGENCY SUGAR BOWL GREEN,-1.0,12/8/2011 11:46,4.15,12523.0,France
571477,16048,TEATIME ROUND PENCIL SHARPENER ,24.0,10/17/2011 14:54,0.12,12794.0,Portugal
579441,22624,IVORY KITCHEN SCALES,2.0,11/29/2011 13:33,8.5,12464.0,Belgium
565851,22101,MIRROR MOSAIC VOTIVE HOLDER,6.0,9/7/2011 13:06,2.1,14911.0,EIRE
568994,23388,WOODLAND MINI BACKPACK,4.0,9/29/2011 16:52,4.15,12598.0,France
546433,15058C,ICE CREAM DESIGN GARDEN PARASOL,2.0,3/14/2011 8:37,7.95,12778.0,Netherlands
570007,POST,POSTAGE,3.0,10/7/2011 9:26,18.0,12519.0,Germany
562046,23209,LUNCH BAG DOILEY PATTERN ,10.0,8/2/2011 10:34,1.65,12378.0,Switzerland
571824,22051,BLUE SCANDINAVIAN PAISLEY WRAP,25.0,10/19/2011 11:49,0.42,12472.0,Germany
551868,22744,MAKE YOUR OWN MONSOON CARD KIT,6.0,5/4/2011 16:29,2.95,12540.0,Spain
568095,23546,WRAP PAISLEY PARK ,50.0,9/23/2011 14:49,0.42,14911.0,EIRE
540455,22727,ALARM CLOCK BAKELIKE RED ,12.0,1/7/2011 12:07,3.75,12583.0,France
554938,22355,CHARLOTTE BAG SUKI DESIGN,20.0,5/27/2011 13:34,0.85,12876.0,Belgium
538095,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,1.0,12/9/2010 14:55,1.45,17097.0,Spain
556241,20726,LUNCH BAG WOODLAND,10.0,6/9/2011 16:04,1.65,12597.0,Spain
564140,23292,SPACEBOY CHILDRENS CUP,8.0,8/23/2011 11:47,1.25,12621.0,Germany
546365,22613,PACK OF 20 SPACEBOY NAPKINS,12.0,3/11/2011 11:35,0.85,12520.0,Germany
539050,22801,ANTIQUE GLASS PEDESTAL BOWL,1.0,12/15/2010 16:21,3.75,12577.0,France
554985,21746,SMALL RED RETROSPOT WINDMILL,12.0,5/29/2011 12:26,1.25,12426.0,Germany
561332,22310,IVORY KNITTED MUG COSY ,6.0,7/26/2011 14:25,1.65,13492.0,Switzerland
572886,POST,POSTAGE,3.0,10/26/2011 13:46,28.0,12448.0,Spain
567196,20728,LUNCH BAG CARS BLUE,10.0,9/19/2011 10:09,1.65,12379.0,Belgium
